L			V_Ratio		Volume		Surface		Surface/Volume
17.84   	0.03597 	1164    	1.865e+004	19.5    
21.85   	0.03239 	1589    	2.705e+004	19.76   
25.99   	0.01953 	1947    	3.439e+004	20.52   
28.37   	0.01347 	2239    	4.039e+004	20.54   
33.83   	0.007583	2470    	4.501e+004	19.97   
37.17   	0.003787	2609    	4.789e+004	20.79   
41.14   	0.002579	2724    	5.026e+004	20.57   
45.88   	0.0021  	2840    	5.267e+004	20.77   
49.79   	0.001404	2931    	5.454e+004	20.6    
53.88   	0.0008338	2994    	5.585e+004	20.69   
57.81   	0.0003656	3026    	5.652e+004	20.97   
60.96   	0.0001532	3040    	5.682e+004	20.4    
64.04   	7.74e-006	3041    	5.683e+004	20.39   
L			V_Ratio		Volume		Surface		Surface/Volume
0.09653 	1.505   	58.07   	789.1   	13.59   
5.991   	0.2081  	315.4   	3734    	11.44   
9.811   	0.08285 	559.5   	7417    	15.09   
13.85   	0.05436 	861.2   	1.28e+004	17.83   
17.79   	0.03701 	1190    	1.923e+004	19.56   
21.82   	0.03326 	1625    	2.782e+004	19.72   
25.93   	0.0209  	2007    	3.562e+004	20.48   
28.3    	0.01456 	2321    	4.204e+004	20.43   
33.82   	0.007528	2550    	4.664e+004	20.03   
37.25   	0.004199	2705    	4.984e+004	20.72   
41.24   	0.002737	2828    	5.236e+004	20.51   
45.88   	0.002111	2944    	5.478e+004	20.71   
49.8    	0.001531	3044    	5.682e+004	20.62   
53.89   	0.0009219	3113    	5.827e+004	20.7    
57.83   	0.0004688	3154    	5.911e+004	20.66   
60.91   	0.0001616	3170    	5.943e+004	20.51   
64.06   	4.928e-006	3170    	5.944e+004	20.75   
L			V_Ratio		Volume		Surface		Surface/Volume
0.09653 	1.605   	61.97   	861.7   	13.91   
5.988   	0.2105  	322.1   	3860    	11.53   
9.811   	0.08892 	584.1   	7875    	15.33   
13.89   	0.05708 	902.5   	1.358e+004	17.92   
17.84   	0.0425  	1282    	2.099e+004	19.5    
21.87   	0.03531 	1747    	3.014e+004	19.71   
25.71   	0.02195 	2140    	3.818e+004	20.43   
28.35   	0.01503 	2466    	4.482e+004	20.39   
33.9    	0.007928	2709    	4.964e+004	19.86   
37.17   	0.004542	2875    	5.308e+004	20.66   
41.21   	0.003122	3015    	5.592e+004	20.32   
45.86   	0.002341	3144    	5.857e+004	20.54   
49.77   	0.001488	3240    	6.056e+004	20.6    
53.88   	0.001033	3319    	6.216e+004	20.47   
57.84   	0.0004825	3361    	6.302e+004	20.56   
61      	0.0001574	3376    	6.334e+004	20.67   
64.01   	3.38e-006	3376    	6.335e+004	22.22   
L			V_Ratio		Volume		Surface		Surface/Volume
0.09653 	1.543   	59.57   	818.7   	13.74   
5.828   	0.2286  	329.3   	4008    	11.83   
9.853   	0.08881 	592.9   	8073    	15.42   
13.87   	0.05809 	916.4   	1.386e+004	17.89   
17.81   	0.04164 	1287    	2.11e+004	19.51   
21.85   	0.03702 	1773    	3.069e+004	19.73   
25.99   	0.02261 	2187    	3.913e+004	20.37   
28.35   	0.01644 	2544    	4.637e+004	20.34   
33.83   	0.008305	2797    	5.143e+004	19.98   
37.25   	0.004574	2965    	5.49e+004	20.61   
41.21   	0.003227	3110    	5.786e+004	20.47   
45.87   	0.002452	3245    	6.064e+004	20.58   
49.8    	0.001629	3351    	6.281e+004	20.51   
